sep=,
index,date,time,precipitation past hour (ml),atmospheric pressure past hour (mb),max air pressure past hour (mb),min air pressure past hour (mb),solar radiation (KJ/m2),air temperature (instant) (C),dew point temperature (instant) (C),max temperature past hour (C),min temperature past hour (C),max dew point temperature past hour (C),min dew point temperature past hour (C),max relative humid temperature past hour  (%),min relative humid temperature past hour (%),relative humid (% instant),wind direction (radius degrees),wind gust (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
198073,2010-01-01,01:00:00,0,991,991,990,-9999,22.6,21.5,22.7,22.5,21.6,21.4,94,93,93,73,1.8,0.8,N,TO,PEDRO AFONSO,A020,-8.9686111,-48.19416666,189
320713,2010-01-01,01:00:00,0,986.5,986.5,985.2,-9999,21.4,20.3,21.4,21.1,20.3,20,94,93,93,338,1.7,0,N,TO,ARAGUAINA,A021,-7.10416666,-48.20111111,226
189313,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,DIANOPOLIS,A038,-11.59416666,-46.84722221,732
151201,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,FORMOSO DO ARAGUAIA,A039,-11.98722221,-49.60833333,220
1,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,ARAGUATINS,A044,-5.6436111,-48.11166666,117
399553,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,AM,MANAUS,A101,-3.10333333,-60.01638888,61.25
63601,2010-01-01,01:00:00,0,989.7,989.7,989.4,-9999,21.9,21.1,22.1,21.9,21.3,21.1,95,95,95,32,0.6,0,N,AC,PARQUE ESTADUAL CHANDLESS,A102,-9.3575,-69.92722221,187
54841,2010-01-01,01:00:00,0,984.3,984.3,983.8,-9999,24.6,22.8,25.1,24.5,23.1,22.7,90,89,90,27,1.5,0,N,AC,RIO BRANCO,A104,-9.95777777,-68.165,220
276913,2010-01-01,01:00:00,0,997.6,997.6,997,-9999,26.8,23.1,27.5,26.8,23.3,23.1,81,78,80,11,2.6,0.6,N,AM,BOCA DO ACRE,A110,-8.77666666,-67.33222221,111
311953,2010-01-01,01:00:00,12.2,1003.7,1003.7,1002.3,-9999,24.8,23.9,24.9,24.6,23.9,23.5,94,93,94,101,3.8,0.9,N,AM,LABREA,A111,-7.43527777,-64.7886111,64
545,2010-01-01,01:00:00,0,1004.7,1004.7,1004.1,-9999,23.6,22.5,24.2,23.6,22.7,22.4,93,92,93,119,2,1,N,AM,HUMAITA,A112,-7.92277777,-63.12138888,72
206833,2010-01-01,01:00:00,0,993.8,993.8,992.8,-9999,24.1,22.3,24.9,24.1,23.3,22.3,92,88,90,312,9.8,3.8,N,AM,APUI,A113,-7.21527777,-59.8886111,160
124921,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,AM,COARI,A117,-4.09749999,-63.14527777,53
70625,2010-01-01,01:00:00,0,1006,1006,1005.3,-9999,27.9,23.1,28.3,27.6,23.8,22.6,79,72,75,340,2,0.3,N,AM,MANACAPURU,A119,-3.29472221,-60.62833332,55
268153,2010-01-01,01:00:00,0,1008.2,1008.2,1007.5,-9999,26.1,24,26.6,26.1,24.3,24,89,87,88,182,0,0,N,AM,AUTAZES,A120,-2.05638888,-60.02555554,78
250633,2010-01-01,01:00:00,0,1005.6,1005.6,1004.9,-9999,28.1,24.1,28.4,27.2,24.1,23.4,80,76,79,316,1.7,0.4,N,AM,ITACOATIARA,A121,-3.13305554,-58.48277777,74
346993,2010-01-01,01:00:00,0.4,1008.1,1008.1,1007,-9999,26.4,23.7,26.9,26.4,23.8,23.4,85,82,85,224,3.2,0.2,N,AM,MAUES,A122,-3.39888888,-57.6736111,35
259393,2010-01-01,01:00:00,0,1008.5,1008.5,1007.9,-9999,26.6,22.6,27.9,26.6,23.4,22.2,79,75,79,342,6,1.2,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52
159961,2010-01-01,01:00:00,0,1009.1,1009.1,1007.8,-9999,26.5,21.5,28.6,26.5,23,21.5,74,71,74,39,7.5,2.6,N,AM,URUCARA,A124,-2.89638888,-57.75833333,17
142441,2010-01-01,01:00:00,0,1005.7,1005.7,1005.2,-9999,24.4,21,24.9,24.4,21,20.9,81,79,81,202,0,0,N,AM,RIO URUBU,A125,-2.7211111,-59.94333333,59
355753,2010-01-01,01:00:00,0,1004.1,1004.1,1002.9,-9999,25.9,22.8,26.2,25.6,23.5,22.4,87,80,83,341,3.9,0.8,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.08499999,-60.04888888,92
215593,2010-01-01,01:00:00,0,1007.1,1007.1,1006.4,-9999,24.9,23.3,26,24.9,23.8,23.3,91,88,91,153,0,0,N,AM,BARCELOS,A128,-0.95861111,-62.94222221,42
35585,2010-01-01,01:00:00,0,986,986,985.4,-9999,24,22.7,24.3,24,22.7,22.6,92,91,92,6,5.1,3.1,N,AC,PORTO WALTER,A136,-8.26694443,-72.74777777,204
98641,2010-01-01,01:00:00,0,982.8,982.8,981.6,-9999,24.1,22.3,24.3,24,22.3,22,90,87,90,46,5.2,2.2,N,AC,MARECHAL THAUMATURGO,A137,-8.95,-72.78666666,230
241873,2010-01-01,01:00:00,0,991.9,991.9,991,-9999,22.9,21.9,23,22.9,22.3,21.8,96,94,94,246,2.4,0.9,N,AC,FEIJO,A138,-8.24194444,-70.57527777,163
285673,2010-01-01,01:00:00,0,983.8,983.9,983.5,-9999,24.3,22.6,24.3,23.1,23,22.3,96,90,90,25,3.9,1.4,N,AC,EPITACIOLANDIA,A140,-11.0236111,-68.73499999,217
28561,2010-01-01,01:00:00,0,1010,1010,1009.1,-9999,24.8,22.5,25,24.6,22.9,22.5,89,87,87,57,2.9,0.6,N,PA,BELEM,A201,-1.41027777,-48.43833333,24
373273,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,CASTANHAL,A202,-1.30083333,-47.93083332,65
26825,2010-01-01,01:00:00,0,982.8,982.9,982.4,-9999,24.3,22.2,26.5,24.3,22.6,21.6,89,72,88,136,5.3,3.3,N,PA,MEDICILANDIA,A209,-3.51083333,-52.96361111,251
294433,2010-01-01,01:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,PACAJA,A210,-3.8436111,-50.63805555,108
364513,2010-01-01,01:00:00,0,999.7,999.7,999,-9999,24,22.8,24,23.9,22.8,22.6,93,92,93,105,2.2,0.5,N,PA,PLACAS,A211,-3.8811111,-54.2461111,96
177481,2010-01-01,01:00:00,0.2,1002.8,1002.8,1001.9,-9999,23.8,22.2,24.8,23.8,22.4,22.2,91,86,91,30,5.6,2.6,N,PA,PARAGOMINAS,A212,-3.01027777,-47.34305555,101
89881,2010-01-01,01:00:00,0,1007.2,1007.2,1006.5,-9999,25.1,21.6,25.7,25.1,22.1,21.6,82,79,81,33,4,1.6,N,PA,TOME ACU,A213,-2.6,-48.36666666,38
116161,2010-01-01,01:00:00,2.2,986.1,986.2,985.3,-9999,23.6,21.9,25.1,23.6,22.4,21.9,90,83,90,125,4.4,2.2,N,PA,RONDON DO PARA,A214,-4.82749999,-48.17333332,203
303193,2010-01-01,01:00:00,0.8,1009.4,1009.6,1009.2,-9999,25.7,23.8,25.7,24.8,24,22.8,90,88,90,34,6.6,2.5,N,PA,SALINOPOLIS,A215,-0.6186111,-47.35666666,41
61865,2010-01-01,01:00:00,0,1007.8,1007.9,1007.5,-9999,24.9,23.6,25,24.5,23.7,23.3,92,92,92,264,0,0,N,PA,BRAGANCA,A226,-1.04527777,-46.78277777,33
133681,2010-01-01,01:00:00,0.2,1010.6,1010.6,1010.2,-9999,25.4,23.5,25.4,25,23.5,22.9,89,88,89,321,3.2,0.4,N,PA,SOURE,A227,-0.81111111,-48.51583333,11
338233,2010-01-01,01:00:00,3.2,995.2,995.2,994.6,-9999,26,24.5,26.6,26,25.1,24.5,92,90,91,269,5.4,0.5,N,PA,TUCURUI,A229,-3.82277777,-49.67499999,148
390793,2010-01-01,01:00:00,0,932.3,932.3,931.9,-9999,21.4,19.3,21.6,21.1,20.1,19.3,94,88,88,249,8.5,3.5,N,PA,SERRA DOS CARAJAS,A230,-6.07749999,-50.14222221,719
9305,2010-01-01,01:00:00,0,1008.5,1008.6,1007.7,-9999,26.5,22.6,26.6,26.4,22.6,22.3,80,78,79,-9999,1.4,0,N,PA,ITAITUBA,A231,-4.27638888,-55.99305555,13
